"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "h"
242, -4.381533400219318e+01, -1.259123162949142e+02, 5.904764808050794e-01, 1.180952961610159e+00, 5.837224323676475e-07, 1.061787162763180e-06, 0.000000000000000e+00
243, -4.350918773347628e+01, -1.253636329225854e+02, 5.880151695969561e-01, 1.176030339193912e+00, 6.344132150815563e-07, 1.120408848790317e-06, 0.000000000000000e+00
244, -4.319617085964178e+01, -1.248188399182120e+02, 5.839223788392407e-01, 1.167844757678481e+00, 6.457412471482125e-07, 1.107715019972645e-06, 0.000000000000000e+00
245, -4.287633280968262e+01, -1.242780233109247e+02, 5.796314576126939e-01, 1.159262915225388e+00, 7.027509424928262e-07, 1.171425651180158e-06, 0.000000000000000e+00
246, -4.254972408973460e+01, -1.237412685019352e+02, 5.763707241651721e-01, 1.152741448330344e+00, 7.854408133529307e-07, 1.272730554385204e-06, 0.000000000000000e+00
247, -4.221639627510076e+01, -1.232086602510502e+02, 5.725559120014149e-01, 1.145111824002830e+00, 8.428253070275559e-07, 1.328080173876048e-06, 0.000000000000000e+00
248, -4.187640200210708e+01, -1.226802826632865e+02, 5.680995929498736e-01, 1.136199185899747e+00, 8.676516652817105e-07, 1.329959951097576e-06, 0.000000000000000e+00
249, -4.152979495979064e+01, -1.221562191755906e+02, 5.626746517995315e-01, 1.125349303599063e+00, 9.096647159814362e-07, 1.356790924878505e-06, 0.000000000000000e+00
250, -4.117662988142137e+01, -1.216365525436622e+02, 5.573443489959644e-01, 1.114688697991929e+00, 1.000599310220842e-06, 1.452619873518363e-06, 0.000000000000000e+00
251, -4.081696253585920e+01, -1.211213648288866e+02, 5.531993300025815e-01, 1.106398660005163e+00, 1.064306247532983e-06, 1.504286749523701e-06, 0.000000000000000e+00
252, -4.045084971874737e+01, -1.206107373853764e+02, 5.472515698025486e-01, 1.094503139605097e+00, 1.108590212479699e-06, 1.525843525668289e-06, 0.000000000000000e+00
253, -4.007834924354383e+01, -1.201047508471241e+02, 5.417090271980349e-01, 1.083418054396070e+00, 1.176087842306619e-06, 1.576693977160446e-06, 0.000000000000000e+00
254, -3.969951993239177e+01, -1.196034851152697e+02, 5.362540789330106e-01, 1.072508157866021e+00, 1.233938985447433e-06, 1.611592168835593e-06, 0.000000000000000e+00
255, -3.931442160683095e+01, -1.191070193454833e+02, 5.299940432017312e-01, 1.059988086403462e+00, 1.266926380950923e-06, 1.612291104006495e-06, 0.000000000000000e+00
256, -3.892311507835118e+01, -1.186154319354650e+02, 5.223471534077626e-01, 1.044694306815525e+00, 1.304037267003090e-06, 1.617265928454056e-06, 0.000000000000000e+00
257, -3.852566213878947e+01, -1.181288005125655e+02, 5.145183709103779e-01, 1.029036741820756e+00, 1.378895415566705e-06, 1.666798230351926e-06, 0.000000000000000e+00
